|Frequenz(Bits/s)||Bitstringlänge||Anzahl fehlerhafter Bits||Anzahl fehlerhafter Zeichen||Fehlerrate Bits||Fehlerrate Zeichen||Falsche 1-Bits||Falsche 0-Bits||Threshold||Fenstergröße Empfänger(ns)||Fenstergröße Sender(ns)|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|	50	 ||	1313	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	721	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	334	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1961	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1897	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1918	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1830	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1930	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	297	 ||	    1   	   ||	         1  		||    0.34%	 ||    2.38%	     ||    0	     ||    1	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	639	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	698	 ||	    2   	   ||	         2  		||    0.29%	 ||    2.02%	     ||    0	     ||    2	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	791	 ||	    1   	   ||	         1  		||    0.13%	 ||    0.88%	     ||    0	     ||    1	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	710	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1148	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1030	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	297	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	951	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
---------------------------------------------------------------------------------------Durchschnittswerte bei dieser Konfiguration--------------------------------------------------------------------------------------------
|	50	 ||	1012.4	 ||	    0.2   	   ||	       0.1  		||    0.04%	 ||    0.22%	     ||  0.0	     ||    0.2	     ||    173	||  	   13000000	    ||	16000000
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Frequenz(Bits/s)||Bitstringlänge||Anzahl fehlerhafter Bits||Anzahl fehlerhafter Zeichen||Fehlerrate Bits||Fehlerrate Zeichen||Falsche 1-Bits||Falsche 0-Bits||Threshold||Fenstergröße Empfänger(ns)||Fenstergröße Sender(ns)|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|	100	 ||	949	 ||	    1   	   ||	         1  		||    0.11%	 ||    0.74%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	199	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	414	 ||	    1   	   ||	         1  		||    0.24%	 ||    1.69%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	125	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1123	 ||	    1   	   ||	         1  		||    0.09%	 ||    0.62%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1983	 ||	    4   	   ||	         4  		||    0.20%	 ||    1.41%	     ||    0	     ||    4	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	180	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1401	 ||	    13   	   ||	         7  		||    0.93%	 ||    3.50%	     ||    0	     ||    13	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	497	 ||	    3   	   ||	         3  		||    0.60%	 ||    4.23%	     ||    0	     ||    3	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1548	 ||	    2   	   ||	         2  		||    0.13%	 ||    0.90%	     ||    0	     ||    2	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1655	 ||	    1   	   ||	         1  		||    0.06%	 ||    0.42%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1127	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	2015	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	54	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	201	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	994	 ||	    1   	   ||	         1  		||    0.10%	 ||    0.70%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1049	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	146	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1655	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1201	 ||	    1   	   ||	         1  		||    0.08%	 ||    0.58%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	36	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1172	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1173	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1321	 ||	    2   	   ||	         2  		||    0.15%	 ||    1.06%	     ||    0	     ||    2	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1806	 ||	    4   	   ||	         4  		||    0.22%	 ||    1.55%	     ||    0	     ||    4	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1007	 ||	    1   	   ||	         1  		||    0.10%	 ||    0.70%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	866	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	607	 ||	    1   	   ||	         1  		||    0.16%	 ||    1.16%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	666	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	814	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1641	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	1027	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	82	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	406	 ||	    1   	   ||	         1  		||    0.25%	 ||    1.72%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	634	 ||	    1   	   ||	         1  		||    0.16%	 ||    1.11%	     ||    0	     ||    1	     ||    173	||  	   6500000	    ||	8000000
|	100	 ||	102	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   6500000	    ||	8000000
